DT_ID,PG_OC_AVG
2024-06-05 00:00:00,166.529999
2024-06-06 00:00:00,167.150002
2024-06-07 00:00:00,167.729996
2024-06-10 00:00:00,167.065002
2024-06-11 00:00:00,167.224998
2024-06-12 00:00:00,166.339996
2024-06-13 00:00:00,165.440002
2024-06-14 00:00:00,166.389999
2024-06-17 00:00:00,166.675003
2024-06-18 00:00:00,167.794998
2024-06-20 00:00:00,168.019997
2024-06-21 00:00:00,167.869995
2024-06-24 00:00:00,168.604996
2024-06-25 00:00:00,167.740005
2024-06-26 00:00:00,166.750000
2024-06-27 00:00:00,167.055000
2024-06-28 00:00:00,165.459999
2024-07-01 00:00:00,164.154999
2024-07-02 00:00:00,163.239998
